Participant,Live_With,Another_Dog,Consider_Getting_Another_Dog,MostImp1_Rec,MostImp2_Rec,MostImp3_Rec,MostImp4_Rec,MostImp5_Rec,MostImp6_Rec,MostImpT2_1_Rec,MostImpT2_2_Rec,MostImpT2_3_Rec,MostImpT2_4_Rec,MostImpT2_5_Rec,MostImpT2_6_Rec,Where_Purchased_Rec,ExpectationsMet_YesNo,ExpectationsMet_Rec,Time_Thinking_Rec,Where_Dog_Is_Now_Rec,Live_With_Time_Rec,Where_Would_You_Purchase_Rec,First,Second,Third,Fourth,Fifth,Sixth,Shelter,Breeder,Yes,appearance,breed,size,age,personality,trainability,compatibility,rank_sum
P51,1,0,1,1,3,2,6,5,7,4,5,6,1,7,3,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,3,2,7,5,4,6,28
P329,1,0,1,1,5,6,4,2,3,5,4,1,7,6,2,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,5,6,4,2,3,7,28
P349,1,0,1,1,7,4,5,6,3,7,5,4,1,3,6,7,4,4,1,11,5,2,0,0,0,0,1,0,0,0,0,1,7,6,3,4,5,2,28
P449,0,0,1,1,5,6,2,7,3,5,3,6,1,7,4,7,4,4,2,5,3,7,0,0,0,0,1,0,0,0,0,1,4,6,7,2,3,5,28
P528,1,0,1,1,5,7,2,6,3,4,5,7,1,2,3,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,4,6,7,2,5,3,28
P619,1,0,1,1,2,5,6,7,4,5,4,7,6,2,1,3,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,2,7,6,3,4,5,28
P650,1,0,1,1,2,7,3,6,5,1,5,7,6,2,4,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,2,4,7,6,5,3,28
P729,1,0,1,1,3,2,5,4,7,3,1,5,7,2,7,7,4,4,1,11,5,2,0,0,0,0,1,0,0,0,0,1,3,2,5,4,7,6,28
P954,1,0,1,1,5,4,3,6,2,1,5,6,3,7,4,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,6,4,3,2,5,7,28
P1012,1,0,1,1,3,6,5,2,4,1,4,6,3,5,7,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,5,2,6,4,3,7,28
P1213,1,0,1,1,5,4,6,3,2,1,4,5,6,3,2,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,6,5,3,2,4,7,28
P1383,1,0,1,1,5,6,2,3,7,4,5,1,6,7,2,7,4,4,3,11,5,7,0,0,0,0,1,0,0,0,0,1,4,5,7,2,3,6,28
P1384,1,0,1,1,4,3,5,6,2,4,1,5,6,3,2,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,6,3,2,4,5,7,28
P1433,1,0,1,1,5,3,2,6,7,5,4,1,6,2,3,7,4,4,2,11,5,7,0,0,0,0,1,0,0,0,0,1,4,3,7,2,5,6,28
P1493,1,0,1,1,3,5,6,2,7,4,5,7,1,6,3,7,4,4,2,11,5,7,0,0,0,0,1,0,0,0,0,1,5,2,7,3,4,6,28
P115,0,1,#NULL!,1,2,5,7,6,3,8,8,8,8,8,8,7,4,4,1,5,3,8,0,0,0,0,1,0,0,0,0,1,2,6,7,3,5,4,28
P313,0,1,#NULL!,1,5,3,7,4,2,8,8,8,8,8,8,7,4,4,2,5,3,8,0,0,0,0,1,0,0,0,0,1,6,3,5,2,7,4,28
P361,1,1,#NULL!,1,2,6,3,5,4,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,0,1,0,0,0,0,1,2,4,6,5,3,7,28
P1463,1,1,#NULL!,1,6,3,7,2,5,8,8,8,8,8,8,6,4,4,3,11,5,8,0,0,0,0,1,0,0,0,0,1,5,3,7,6,2,4,28
P314,1,0,1,1,2,5,7,6,3,7,5,1,6,2,4,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,2,6,7,3,5,4,28
P1264,1,1,#NULL!,1,3,6,4,5,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,7,2,4,5,3,6,28
P1147,1,0,1,1,4,7,6,5,3,3,6,1,7,5,2,7,4,4,1,11,5,2,0,0,0,0,1,0,0,0,0,1,7,6,2,5,4,3,28
P4,1,0,0,1,6,3,5,4,2,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,6,3,5,4,2,7,28
P1152,1,0,1,1,3,5,7,2,6,3,1,4,5,7,6,2,4,4,2,11,5,2,0,0,0,0,1,0,0,0,0,1,5,2,7,3,6,4,28
P1582,1,0,0,1,2,4,2,6,5,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,0,1,0,0,0,0,1,4,7,3,6,5,0,26
P194,0,0,1,1,2,6,5,7,3,4,5,2,6,1,3,7,4,4,1,5,3,7,0,0,0,0,1,0,0,0,0,1,2,6,7,4,3,5,28
P1057,1,0,1,1,7,5,2,6,4,5,7,4,2,6,1,7,4,4,1,11,5,7,0,0,0,0,1,0,0,0,0,1,4,7,6,3,5,2,28
P1247,1,1,#NULL!,1,5,2,6,3,4,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,0,1,0,0,0,0,1,3,5,6,2,4,7,28
P1248,1,0,1,1,2,5,4,3,6,5,1,3,6,7,2,6,4,4,4,11,5,7,0,0,0,0,1,0,0,0,0,1,2,5,4,3,6,7,28
P1049,1,1,#NULL!,1,2,5,6,7,4,8,8,8,8,8,8,3,4,4,4,11,5,8,0,0,0,0,1,0,0,0,0,1,2,7,6,3,4,5,28
P1336,1,1,#NULL!,1,6,2,5,7,3,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,3,6,7,4,2,5,28
P1450,1,1,#NULL!,1,3,2,4,5,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,3,2,4,5,6,7,28
P336,1,0,1,1,4,3,2,5,7,5,4,2,6,7,3,2,4,4,2,11,5,7,0,0,0,0,1,0,0,0,0,1,4,3,2,5,7,6,28
P1279,1,0,1,1,4,2,3,6,7,4,5,6,3,2,1,4,4,4,4,11,5,7,0,0,0,0,1,0,0,0,0,1,3,4,2,7,5,6,28
P174,1,1,#NULL!,1,5,7,4,6,3,8,8,8,8,8,8,2,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,7,6,4,2,5,3,28
P1344,1,1,#NULL!,1,5,7,4,3,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,0,1,0,0,0,0,1,7,5,4,2,6,3,28
P114,1,0,1,2,4,5,6,7,1,4,2,5,6,7,1,7,1,1,1,11,5,7,0,0,0,1,0,0,0,1,0,6,1,7,2,3,4,5,28
P981,0,0,1,2,3,1,6,5,7,5,6,2,1,7,3,2,1,1,2,5,3,7,0,0,0,1,0,0,0,1,0,3,1,2,7,5,4,6,28
P480,1,1,#NULL!,2,6,3,1,5,4,8,8,8,8,8,8,6,1,2,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,3,6,5,2,7,28
P266,1,0,1,2,1,5,4,3,6,4,7,5,6,3,1,7,1,2,1,11,5,7,0,0,0,1,0,0,0,1,0,2,1,5,4,3,6,7,28
P1118,1,0,1,2,6,3,5,1,7,5,4,2,7,6,1,3,1,2,2,11,5,7,0,0,0,1,0,0,0,1,0,5,1,3,7,4,2,6,28
P1179,1,1,#NULL!,2,5,3,5,6,7,8,8,8,8,8,8,6,1,2,2,11,5,8,0,0,0,1,0,0,0,1,0,7,1,3,0,4,5,6,26
P587,1,0,0,2,2,5,6,1,5,8,8,8,8,8,8,3,1,2,3,11,5,8,0,0,0,1,0,0,0,1,0,5,2,7,0,6,4,0,24
P1250,1,0,0,2,6,5,1,6,3,8,8,8,8,8,8,3,1,2,2,11,5,8,0,0,0,1,0,0,0,1,0,4,1,6,7,3,5,0,26
P5,1,0,1,2,5,1,6,7,3,5,2,1,7,6,4,7,1,2,2,11,5,7,0,0,0,1,0,0,0,1,0,3,1,6,7,2,4,5,28
P505,1,0,1,2,6,1,3,5,4,3,6,1,5,2,4,7,1,2,1,11,5,7,0,0,0,1,0,0,0,1,0,3,1,4,6,5,2,7,28
P1320,1,0,1,2,5,3,6,1,7,2,5,3,6,1,7,2,1,2,1,11,5,2,0,0,0,1,0,0,0,1,0,5,1,3,7,2,4,6,28
P1684,1,0,1,2,1,6,3,5,7,1,2,6,5,7,4,7,1,2,1,11,5,7,0,0,0,1,0,0,0,1,0,2,1,4,7,5,3,6,28
P1454,1,0,1,2,1,3,6,5,7,4,5,1,6,3,7,7,1,2,1,11,5,2,0,0,0,1,0,0,0,1,0,2,1,3,7,5,4,6,28
P879,1,0,1,2,3,1,7,4,4,4,7,3,6,2,5,3,1,2,4,11,5,2,0,0,0,1,0,0,0,1,0,3,1,2,6,7,0,4,23
P1617,1,1,#NULL!,2,5,3,6,4,7,8,8,8,8,8,8,7,1,2,1,11,5,8,0,0,0,1,0,0,0,1,0,7,1,3,5,2,4,6,28
P1308,1,0,1,2,1,3,6,7,5,5,1,3,4,7,3,2,1,2,2,11,5,7,0,0,0,1,0,0,0,1,0,2,1,3,7,6,4,5,28
P1578,1,0,1,2,3,6,1,5,7,3,2,1,6,5,7,2,1,2,4,11,5,2,0,0,0,1,0,0,0,1,0,4,1,2,7,5,3,6,28
P303,1,0,1,2,6,5,4,1,7,5,4,6,2,3,1,7,4,3,3,11,5,7,0,0,0,1,0,0,0,1,0,5,1,7,4,3,2,6,28
P482,0,0,1,2,6,3,1,4,5,6,1,3,2,5,4,7,4,3,1,5,2,5,0,0,0,1,0,0,0,1,0,4,1,3,5,6,2,7,28
P661,1,0,1,2,1,5,4,6,7,5,7,4,2,1,6,7,4,3,1,11,5,7,0,0,0,1,0,0,0,1,0,2,1,7,4,3,5,6,28
P317,1,1,#NULL!,2,5,3,6,1,7,8,8,8,8,8,8,7,4,3,1,11,5,8,0,0,0,1,0,0,0,1,0,5,1,3,7,2,4,6,28
P508,1,1,#NULL!,2,3,6,1,5,4,8,8,8,8,8,8,2,4,3,3,11,5,8,0,0,0,1,0,0,0,1,0,4,1,2,6,5,3,7,28
P1197,1,1,#NULL!,2,5,7,4,6,3,8,8,8,8,8,8,7,4,3,1,11,5,8,0,0,0,1,0,0,0,1,0,7,1,6,4,2,5,3,28
P1642,1,1,#NULL!,2,6,1,5,3,7,8,8,8,8,8,8,7,4,3,1,11,5,8,0,0,0,1,0,0,0,1,0,3,1,5,7,4,2,6,28
P487,1,0,1,2,3,5,6,1,7,6,2,3,5,7,1,7,4,3,1,11,5,7,0,0,0,1,0,0,0,1,0,5,1,2,7,3,4,6,28
P529,1,0,1,2,6,1,5,7,3,5,7,2,6,3,1,7,4,3,2,11,5,7,0,0,0,1,0,0,0,1,0,3,1,6,7,4,2,5,28
P854,1,0,1,2,5,6,3,1,7,7,5,4,6,1,3,7,4,3,1,11,5,7,0,0,0,1,0,0,0,1,0,5,1,4,7,2,3,6,28
P1225,1,0,1,2,5,6,7,1,3,4,5,7,6,1,3,7,4,3,1,11,5,7,0,0,0,1,0,0,0,1,0,5,1,6,7,2,3,4,28
P1648,1,0,1,2,1,5,6,3,4,3,2,6,1,5,7,7,4,3,4,11,5,2,0,0,0,1,0,0,0,1,0,2,1,5,6,3,4,7,28
P1370,1,1,#NULL!,2,5,6,3,5,4,8,8,8,8,8,8,3,4,3,1,11,5,8,0,0,0,1,0,0,0,1,0,7,1,4,6,5,3,0,26
P373,1,0,1,2,6,1,5,4,7,4,5,7,1,6,2,3,4,3,1,11,5,7,0,0,0,1,0,0,0,1,0,3,1,7,5,4,2,6,28
P1149,1,1,#NULL!,2,6,5,1,3,7,8,8,8,8,8,8,3,4,3,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,5,7,3,2,6,28
P839,1,0,1,2,5,4,7,1,6,5,2,7,3,1,6,7,4,3,1,11,5,2,0,0,0,1,0,0,0,1,0,5,1,7,3,2,6,4,28
P1020,1,0,1,2,3,1,6,7,5,2,3,6,1,7,5,6,4,3,2,11,5,7,0,0,0,1,0,0,0,1,0,3,1,2,7,6,4,5,28
P106,1,1,#NULL!,2,4,6,1,5,7,8,8,8,8,8,8,6,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,7,2,5,3,6,28
P251,0,1,#NULL!,2,3,1,5,4,6,8,8,8,8,8,8,3,4,4,1,1,3,8,0,0,0,1,0,0,0,1,0,3,1,2,5,4,6,7,28
P370,1,1,#NULL!,2,3,5,4,6,1,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,6,1,2,4,3,5,7,28
P494,1,1,#NULL!,2,5,4,1,6,3,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,6,3,2,5,7,28
P594,1,1,#NULL!,2,3,4,1,7,5,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,2,3,6,7,5,28
P777,1,1,#NULL!,2,3,6,5,7,4,8,8,8,8,8,8,2,4,4,4,11,5,8,0,0,0,1,0,0,0,1,0,7,1,2,6,4,3,5,28
P1131,0,1,#NULL!,2,7,6,3,1,4,8,8,8,8,8,8,6,4,4,2,2,2,8,0,0,0,1,0,0,0,1,0,5,1,4,6,7,3,2,28
P1172,1,1,#NULL!,2,3,6,1,5,4,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,1,0,0,0,1,0,4,1,2,6,5,3,7,28
P196,1,0,0,2,3,6,1,5,4,8,8,8,8,8,8,4,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,2,6,5,3,7,28
P211,1,0,1,2,5,6,1,4,3,5,2,3,7,6,4,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,4,1,6,5,2,3,7,28
P378,1,0,1,2,5,4,6,7,2,5,4,3,7,6,1,4,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,7,6,0,3,2,4,5,27
P1028,1,0,1,2,5,1,6,4,6,5,6,3,7,1,4,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,3,1,7,5,2,6,0,24
P1288,1,0,1,2,4,5,7,1,6,4,5,7,6,1,2,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,5,1,7,2,3,6,4,28
P49,1,1,#NULL!,2,3,6,1,5,7,8,8,8,8,8,8,2,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,2,7,5,3,6,28
P126,1,1,#NULL!,2,3,1,6,4,5,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,1,0,0,0,1,0,3,1,2,5,6,4,7,28
P127,0,1,#NULL!,2,1,6,5,7,3,8,8,8,8,8,8,7,4,4,1,5,3,8,0,0,0,1,0,0,0,1,0,2,1,6,7,4,3,5,28
P173,1,1,#NULL!,2,1,3,7,5,6,8,8,8,8,8,8,3,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,2,1,3,7,5,6,4,28
P258,0,1,#NULL!,2,3,6,4,5,1,8,8,8,8,8,8,7,4,4,1,5,3,8,0,0,0,1,0,0,0,1,0,6,1,2,4,5,3,7,28
P268,0,1,#NULL!,2,6,1,5,7,4,8,8,8,8,8,8,7,4,4,1,5,2,8,0,0,0,1,0,0,0,1,0,3,1,7,6,4,2,5,28
P289,1,1,#NULL!,2,5,4,3,6,6,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,7,1,4,3,2,6,0,23
P327,1,1,#NULL!,2,5,6,1,3,4,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,5,6,2,3,7,28
P421,1,1,#NULL!,2,6,5,3,1,7,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,1,0,0,0,1,0,5,1,4,7,3,2,6,28
P578,1,1,#NULL!,2,1,5,3,6,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,2,1,4,7,3,5,6,28
P660,1,1,#NULL!,2,6,1,3,5,7,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,1,0,0,0,1,0,3,1,4,7,5,2,6,28
P881,1,1,#NULL!,2,5,3,6,1,4,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,1,0,0,0,1,0,5,1,3,6,2,4,7,28
P882,0,1,#NULL!,2,5,3,6,4,4,8,8,8,8,8,8,7,4,4,1,5,2,8,0,0,0,1,0,0,0,1,0,7,1,3,6,2,4,0,23
P1109,1,1,#NULL!,2,3,1,5,4,7,8,8,8,8,8,8,5,4,4,4,11,5,8,0,0,0,1,0,0,0,1,0,3,1,2,5,4,7,6,28
P1134,1,1,#NULL!,2,5,4,6,1,7,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,1,0,0,0,1,0,5,1,7,3,2,4,6,28
P1136,1,1,#NULL!,2,5,4,7,1,3,8,8,8,8,8,8,7,4,4,2,11,5,8,0,0,0,1,0,0,0,1,0,5,1,6,3,2,7,4,28
P1277,1,1,#NULL!,2,5,4,7,3,3,8,8,8,8,8,8,7,4,4,4,11,5,8,0,0,0,1,0,0,0,1,0,7,1,6,3,2,0,4,23
P1318,1,1,#NULL!,2,5,3,7,1,4,8,8,8,8,8,8,2,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,5,1,3,6,2,7,4,28
P1399,1,1,#NULL!,2,5,6,1,3,7,8,8,8,8,8,8,7,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,5,7,2,3,6,28
P1542,1,1,#NULL!,2,5,6,3,1,4,8,8,8,8,8,8,2,4,4,2,11,5,8,0,0,0,1,0,0,0,1,0,5,1,4,6,2,3,7,28
P1593,1,1,#NULL!,2,5,1,7,3,6,8,8,8,8,8,8,2,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,3,1,5,7,2,6,4,28
P1620,0,1,#NULL!,2,6,1,3,5,7,8,8,8,8,8,8,6,4,4,2,1,2,8,0,0,0,1,0,0,0,1,0,3,1,4,7,5,2,6,28
P1651,1,1,#NULL!,2,6,3,4,7,1,8,8,8,8,8,8,2,4,4,3,11,5,8,0,0,0,1,0,0,0,1,0,6,1,3,4,7,2,5,28
P895,1,0,0,2,5,6,1,3,7,8,8,8,8,8,8,2,4,4,1,11,5,8,0,0,0,1,0,0,0,1,0,4,1,5,7,2,3,6,28
P7,1,0,1,2,3,6,1,7,5,4,7,5,6,2,1,7,4,4,2,11,5,7,0,0,0,1,0,0,0,1,0,4,1,2,7,6,3,5,28
P56,1,0,1,2,1,5,6,7,4,3,5,4,7,1,6,2,4,4,2,11,5,2,0,0,0,1,0,0,0,1,0,2,1,7,6,3,4,5,28
P221,1,0,1,2,3,6,1,4,5,4,3,6,7,1,5,3,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,4,1,2,5,6,3,7,28
P375,1,0,1,2,1,6,3,4,5,5,6,2,4,3,1,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,2,1,4,5,6,3,7,28
P409,1,0,1,2,6,1,5,3,4,4,6,1,2,5,3,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,3,1,5,6,4,2,7,28
P476,1,0,1,2,1,6,4,3,5,3,6,7,5,1,4,6,4,4,3,11,5,2,0,0,0,1,0,0,0,1,0,2,1,5,4,6,3,7,28
P617,1,0,1,2,5,6,3,4,7,5,6,2,4,3,1,4,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,7,1,4,5,2,3,6,28
P694,1,0,1,2,3,5,7,4,1,4,5,7,2,6,1,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,6,1,2,5,3,7,4,28
P785,1,0,1,2,3,5,1,7,1,5,4,7,3,1,6,6,4,4,2,11,5,7,0,0,0,1,0,0,0,1,0,6,1,2,7,3,0,5,24
P980,0,0,1,2,6,5,1,7,3,6,5,7,2,3,1,7,4,4,2,5,3,7,0,0,0,1,0,0,0,1,0,4,1,6,7,3,2,5,28
P1022,1,0,1,2,6,1,5,4,7,5,2,6,1,4,7,7,4,4,3,11,5,7,0,0,0,1,0,0,0,1,0,3,1,7,5,4,2,6,28
P1073,1,0,1,2,5,6,4,7,1,2,5,3,6,4,7,6,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,6,1,7,4,2,3,5,28
P1138,0,0,1,2,5,1,3,7,4,5,4,7,2,1,3,3,4,4,4,5,3,7,0,0,0,1,0,0,0,1,0,3,1,4,6,2,7,5,28
P1246,0,0,1,2,3,1,5,6,7,5,3,1,4,7,2,7,4,4,3,5,3,7,0,0,0,1,0,0,0,1,0,3,1,2,7,4,5,6,28
P1306,1,0,1,2,5,6,7,1,3,7,4,5,6,1,3,7,4,4,1,11,5,2,0,0,0,1,0,0,0,1,0,5,1,6,7,2,3,4,28
P1317,1,0,1,2,6,1,3,5,4,1,6,5,2,3,4,7,4,4,1,11,5,7,0,0,0,1,0,0,0,1,0,3,1,4,6,5,2,7,28
P1392,0,0,1,2,3,1,7,6,5,5,2,6,1,7,4,2,4,4,2,1,3,7,0,0,0,1,0,0,0,1,0,3,1,2,7,6,5,4,28
P1393,1,0,1,2,5,6,7,3,1,4,5,2,1,7,3,7,4,4,2,11,5,7,0,0,0,1,0,0,0,1,0,6,1,5,7,2,3,4,28
