What is the name of the dog you would like to submit a response for?,How long were you thinking about adding a new dog to the family  before you brought {{field:dog_name}} home?,What was your primary motivation for getting {{field:dog_name}}?,Where did you acquire {{field:dog_name}} from?,Please select the characteristic you found most important when choosing {{field:dog_name}}.,"Your number 1 choice is {{field:char_1_1}}.
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
5. {{field:char_1_5}}
What was the next most important characteristic?",Were your primary relationship expectations met?,Do you still live with {{field:dog_name}}?,How long did you and {{field:dog_name}} live together?,Where is {{field:dog_name}} now?,Would you like to enter information for another dog you own(ed)?,Would you ever consider bringing another dog into your life?,Please select the characteristic you find most important from the list.,"Your number 1 choice is {{field:char_2_1}}.
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
5. {{field:char_2_5}}
What is next most important characteristic?","If you were to bring another dog into your life, where are you likely to get that dog?",id,msg,list,sep,Submitted At,Token
Farrah,6+ months - 6 years,Companionship and affection,Breeder,Individual personality/behavior,Compatability with other pets in the home,Breed,Appearance,Trainability,Age,Yes,True,,,True,,,,,,,,,44c49a3920623ca5f9b7b21660ec7ce6,,, ,2/13/2020 20:06:16,22vs0jj9bnxtnz22vs0jjdwbh04lol86
Roxy,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Appearance,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Appearance,Shelter/Rescue,70029a3e9161501078566cf97d7c19a3,,, ,2/13/2020 20:05:54,9jqxy8y2slefqhf5v1mxj9jqxy8r4fq6
Bergen,6+ months - 6 years,Companionship and affection,Local pet shop,Size,Appearance,Breed,Age,Individual personality/behavior,Trainability,Yes,True,,,False,True,Size,Appearance,Age,Individual personality/behavior,Compatability with other pets in the home,Trainability,Shelter/Rescue,2b1744b631f242b973aaa68a8fa18c66,,, ,2/13/2020 20:06:54,kzogg3qlxsna46c89okzogg3qlowar04
Mina,Less than 1 week,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Age,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Trainability,Breed,Shelter/Rescue,d367eb5f4fc1c5ac00d4db6d5950e98d,,, ,2/13/2020 20:06:46,czb0ps4j5x0d20waycyshiczb0ps0xp0
Henry,1 week - 6 months,Companionship and affection,Shelter/Rescue,Size,Appearance,Age,Appearance,Individual personality/behavior,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,c351398a6884ebb6c11cc50028471180,,, ,2/13/2020 20:07:00,g8r90xn0t0lb3rejg8rahn6vhz0yol2l
Coal,Less than 1 week,"Someone else in the home wanted a dog (e.g. kids, spouse)",Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Breed,Size,Yes,True,,,True,,,,,,,,,a8980a8cbea8173269df662e76f466ee,,, ,2/13/2020 20:06:33,8go9a6bdevaxhv731g4x478go9a6bdym
Winnie,1 week - 6 months,"Someone else in the home wanted a dog (e.g. kids, spouse)",Online,Individual personality/behavior,Breed,Age,Appearance,Size,Trainability,"Partially, I grew to love the dog over time",True,,,False,True,Compatability with other pets in the home,Breed,Age,Individual personality/behavior,Trainability,Appearance,Shelter/Rescue,c60faf017171596a4c164ea3930e0a93,,, ,2/13/2020 20:07:37,gj0s9xf923kbo66nvsgj0s9xsytlrfur
Sabre,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Appearance,Age,Individual personality/behavior,Size,Breed,Yes,True,,,True,,,,,,,,,864177fb319a088e4e51722f923b7682,,, ,2/13/2020 20:07:50,wnsixfbzc9psdzi3wnsixxeix4kumhvh
Cole,1 week - 6 months,"Exercise, adventure partner",Shelter/Rescue,Size,Individual personality/behavior,Age,Trainability,Appearance,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Trainability,Appearance,Shelter/Rescue,34e03f45746d6f87fa9e1a36ed07e270,,, ,2/13/2020 20:08:09,rdspa86csmnpxw5frds49qkjty4i58cx
Rogue,Less than 1 week,Rogue's breeder contacted us because she was deaf and my husband had experience with deaf dogs,Breeder,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Trainability,Age,Yes,True,,,True,,,,,,,,,fcc000503da4eeca8ed0f03242b063bd,,, ,2/13/2020 20:07:49,vqzrbnixcqmibk8c3k8fvqzrj1w0nujv
Dennis,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Age,Size,Appearance,Compatability with other pets in the home,Individual personality/behavior,Yes,True,,,False,True,Breed,Age,Compatability with other pets in the home,Individual personality/behavior,Size,Appearance,Shelter/Rescue,b0e95aed9a8cd76599c0f6ef593b2dc5,,, ,2/13/2020 20:07:18,0zdpypcn3zq9kg6nx40l980zdpypcmjw
Dutch,1 week - 6 months,Companionship and affection,Family member or friend,Breed,Age,Appearance,Individual personality/behavior,Trainability,Size,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Appearance,Trainability,Shelter/Rescue,275ffa493895136d177cf535a774dc57,,, ,2/13/2020 20:07:52,66ntut2rnn3frpqo66ntu996bfvb19s9
Onyx,6+ years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Trainability,Age,Size,Appearance,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Appearance,Shelter/Rescue,4aeac872471b9b2e5fc587348eaa77e7,,, ,2/13/2020 20:08:56,abzm3ifnbgha8sgfgx7dabzm3ir6gz2g
Carys,6+ months - 6 years,Social interaction,Shelter/Rescue,Appearance,Size,Individual personality/behavior,Breed,Age,Trainability,Yes,True,,,True,,,,,,,,,10b69fab88f3aa967a85014335fc48f5,,, ,2/13/2020 20:08:20,chuzx3hkj48zdegp01chuey0x173xfuu
BettyB,6+ months - 6 years,Working or sporting,Family member or friend,Compatability with other pets in the home,Individual personality/behavior,Trainability,Breed,Size,Age,"Partially, I grew to love the dog over time",True,,,False,False,,,,,,,,fcf3f0e3508b2ac86268c787fcf66b42,,, ,2/13/2020 20:08:32,87rsqiq9l8efow83vylq874wmgco3816
Eddy,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Appearance,Age,Trainability,Breed,Yes,True,,,True,,,,,,,,,85ec12fae33405727af7d38f82ee8659,,, ,2/13/2020 20:07:23,q5e0xno6wqo82bk71q5e0xnjts9mya35
Bolero,6+ months - 6 years,Companionship and affection,Breeder,Individual personality/behavior,Compatability with other pets in the home,Breed,Appearance,Trainability,Age,Yes,True,,,True,,,,,,,,,44c49a3920623ca5f9b7b21660ec7ce6,We have submissions for:,,", ",2/13/2020 20:07:24,xga69wrtdv601lxgcljnmqbqnugi08nc
Emma,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Breed,Yes,True,,,True,,,,,,,,,0a87071a89ee34c0c56375072c1f1d53,,, ,2/13/2020 20:07:47,fufixa0j7k0f049iaffbofufixa0jze7
Rex,1 week - 6 months,"Someone else in the home wanted a dog (e.g. kids, spouse)",Found roaming,Breed,Compatability with other pets in the home,Individual personality/behavior,Trainability,Appearance,Size,Yes,True,,,True,,,,,,,,,a8980a8cbea8173269df662e76f466ee,We have submissions for:,,,2/13/2020 20:07:44,5432raelma87tdd067bod5432hfxr0ul
Taylor,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Yes,True,,,False,False,,,,,,,,32f66fdaceaf8ddae09b8b7b8650627a,,, ,2/13/2020 20:08:33,9kfzieff8f9ehmnri9kfzc1evpifrzc9
Hannah,Less than 1 week,Companion for another dog or pet,Shelter/Rescue,Age,Compatability with other pets in the home,Breed,Size,Individual personality/behavior,Appearance,"Partially, I grew to love the dog over time",True,,,False,True,Appearance,Breed,Size,Individual personality/behavior,Compatability with other pets in the home,Age,Shelter/Rescue,c351398a6884ebb6c11cc50028471180,We have submissions for:,,", ",2/13/2020 20:09:32,syjgbzwvhthm4xmgjc9y8syjgbzwl3mj
Rua,1 week - 6 months,Companionship and affection,Breeder,Breed,Trainability,Size,Individual personality/behavior,Size,Age,Yes,True,,,False,True,Breed,Trainability,Size,Compatability with other pets in the home,Age,Age,Shelter/Rescue,0b97f8837ea3c4d3af296df31a1e2ef2,,, ,2/13/2020 20:10:42,fcdi3aohewi98t9zd28k8fcdi3a58sjc
Dallas,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Size,Age,Appearance,Trainability,Yes,False,6+ months - 6 years,Passed,False,True,Individual personality/behavior,Age,Trainability,Appearance,Size,Compatability with other pets in the home,Shelter/Rescue,85ec12fae33405727af7d38f82ee8659,We have submissions for:,,", ",2/13/2020 20:08:38,h23rfr90ia56p72yph23rfrcnud7z4gb
Angel,Less than 1 week,Companionship and affection,Family member or friend,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Age,Size,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Age,Size,Shelter/Rescue,44c49a3920623ca5f9b7b21660ec7ce6,We have submissions for:,,", ",2/13/2020 20:10:05,9e24mgjhc9kjtnstgi9e2ytpszi2o9q7
Charlotte,1 week - 6 months,She was a blind abandoned dog and needed a good home.,Shelter/Rescue,Breed,Compatability with other pets in the home,Individual personality/behavior,Individual personality/behavior,Size,Breed,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Appearance,Breed,Size,Shelter/Rescue,a8980a8cbea8173269df662e76f466ee,We have submissions for:,__________Rex,", ",2/13/2020 20:12:27,qgnncvqkahpt5y611qgnnp1nrggi67c9
Joey,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Trainability,Age,Appearance,Breed,Yes,False,6+ years,Passed,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Shelter/Rescue,0a87071a89ee34c0c56375072c1f1d53,We have submissions for:,,", ",2/13/2020 20:09:27,jxm3mui9cv91pzm1q6wujxm3mulwo5k6
Tom Sawyer,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Appearance,Age,Trainability,Yes,True,,,True,,,,,,,,,16de20dc9f5d80f41c91adb33c2bb4c7,,, ,2/13/2020 20:09:41,z47v69z6ardo79ylyd6zz47v69zr4tpp
Steel,6+ months - 6 years,We were looking for an 'apprentice ' to our old mutt who helped us rehab dogs with behavior problems. ,Breeder,Individual personality/behavior,Breed,Age,Trainability,Compatability with other pets in the home,Appearance,Yes,True,,,True,,,,,,,,,fcc000503da4eeca8ed0f03242b063bd,We have submissions for:,,", ",2/13/2020 20:09:56,6wxopwbov1gjm1e0e46wxop3emt52imi
Zoey,1 week - 6 months,"Exercise, adventure partner",Family member or friend,Breed,Individual personality/behavior,Compatability with other pets in the home,Appearance,Age,Trainability,Yes,True,,,True,,,,,,,,,864177fb319a088e4e51722f923b7682,We have submissions for:,,", ",2/13/2020 20:09:09,dntb7wdiv2985osmxxddntb7wdqpyxud
Rufus,1 week - 6 months,Companionship and affection,Breeder,Breed,Trainability,Individual personality/behavior,Age,Size,Appearance,Yes,True,,,False,True,Breed,Trainability,Individual personality/behavior,Age,Size,Appearance,Breeder,58d410165c5392797d93c3230f6966f6,,, ,2/13/2020 20:12:29,2uoyo7abqqbr2uo1szahlkq54ii825t9
Bailey,1 week - 6 months,Companionship and affection,Family member or friend,Breed,Individual personality/behavior,Size,Age,Trainability,Compatability with other pets in the home,Yes,True,,,False,True,Compatability with other pets in the home,Size,Breed,Appearance,Trainability,Individual personality/behavior,Shelter/Rescue,d20b82aac3d63daeb9de162674b151ba,,, ,2/13/2020 20:10:12,dg143lv7eeuu37x84pexpdg143lv6pav
Aster,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Appearance,Size,Breed,Age,Individual personality/behavior,Yes,True,,,False,True,Appearance,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Shelter/Rescue,10b69fab88f3aa967a85014335fc48f5,We have submissions for:,,", ",2/13/2020 20:10:34,coroq5dx2demycafqcoroqsnbkla0ggp
Kirk,1 week - 6 months,Companion for another dog or pet,Online,Breed,Individual personality/behavior,Appearance,Compatability with other pets in the home,Size,Trainability,Yes,True,,,False,True,Individual personality/behavior,Size,Breed,Age,Trainability,Compatability with other pets in the home,Shelter/Rescue,e3bf1964255535b0e9013c8dbe9be632,,, ,2/13/2020 20:10:27,mzogsrigyj2tzewtx3s9hmzogsriwf4e
Byron,Less than 1 week,Companionship and affection,Breeder,Age,Breed,Size,Trainability,Individual personality/behavior,Appearance,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Appearance,Age,Shelter/Rescue,864177fb319a088e4e51722f923b7682,We have submissions for:,,", ",2/13/2020 20:12:09,14k0mjkrcyz4rfzzy2a14k0mjg27yiyl
Huckleberry,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Appearance,Yes,True,,,True,,,,,,,,,16de20dc9f5d80f41c91adb33c2bb4c7,We have submissions for:,,", ",2/13/2020 20:10:53,w8qhr6buxjyd8ixljgw8qhrdt0wqdqtf
Rascal,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Individual personality/behavior,Size,Age,Appearance,Breed,Yes,True,,,True,,,,,,,,,ec489ad5b956604c97a416b22b84ad9b,,, ,2/13/2020 20:11:51,o0bar5ezta55a52ko0balbf969l6n9pq
Custard,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Age,Yes,True,,,True,,,,,,,,,a389ed6bc732733bf7c5b28c4d265041,,, ,2/13/2020 20:12:02,y81o182s34dabkpalshtgksy81o1uulo
Ruby,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Breed,Age,Individual personality/behavior,Trainability,Size,Yes,True,,,True,,,,,,,,,fcc000503da4eeca8ed0f03242b063bd,We have submissions for:,,", ",2/13/2020 20:11:02,5wkvpeuefiv0f5le3dj95wkvpe3odo20
Rosie,1 week - 6 months,Companionship and affection,Breeder,Appearance,Breed,Size,Age,Individual personality/behavior,Trainability,Yes,True,,,True,,,,,,,,,b698ba3e84f3572c3b55d7a940307c21,,, ,2/13/2020 20:11:54,f6z3tfmn4fs9dpsea5y8f6z3tfmywvp5
Pepper Potts,6+ months - 6 years,saw her online and immediately fell in love with her,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breed,Appearance,Size,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Appearance,Age,Shelter/Rescue,16de20dc9f5d80f41c91adb33c2bb4c7,We have submissions for:,,", ",2/13/2020 20:13:02,xx4xputpxum4qjbcxx4xpl6pxd59f5xf
Bailey,1 week - 6 months,Companionship and affection,Shelter/Rescue,Age,Breed,Appearance,Size,Individual personality/behavior,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Size,Age,Trainability,Breed,Shelter/Rescue,9c3a3e7a0ea31ef645053eb2ba9fa4e7,,, ,2/13/2020 20:13:48,l465i3imnnzq4b7bl465ih2stfmuke1g
Bodie,Less than 1 week,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Trainability,Appearance,Size,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,146adf825bac55db338a3bf2ce318969,,, ,2/13/2020 20:13:37,7m6hcxbs8k46buidd7m6oqkeuu0b5myw
Buzz,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Trainability,Age,Appearance,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Appearance,Age,Shelter/Rescue,3f2d45448d3ab0763ce9951f499bf9da,,, ,2/13/2020 20:13:35,3omrw4x8dl7n5fv28x2kx3omrw4xvgdf
Skipper,Less than 1 week,he belonged to a friend's mom whose worsening dementia made her unable to keep him.,Family member or friend,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Size,Appearance,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Size,Appearance,Roaming,ec489ad5b956604c97a416b22b84ad9b,We have submissions for:,,", ",2/13/2020 20:16:07,l0aaiu70so5ywty6vxmjil0aaiuj725j
Molly,6+ months - 6 years,Companionship and affection,Breeder,Breed,Size,Age,Trainability,Appearance,Individual personality/behavior,Yes,False,6+ years,Passed,False,True,Size,Appearance,Breed,Age,Trainability,Individual personality/behavior,Breeder,b698ba3e84f3572c3b55d7a940307c21,We have submissions for:,,", ",2/13/2020 20:15:01,afx7x9ynk9bzh5quiy1afx7xmuzstpka
Edward,6+ months - 6 years,Companionship and affection,Breeder,Appearance,Age,Individual personality/behavior,Size,Trainability,Compatability with other pets in the home,Yes,True,,,False,True,Breed,Individual personality/behavior,Compatability with other pets in the home,Trainability,Age,Size,Breeder,a389ed6bc732733bf7c5b28c4d265041,We have submissions for:,,", ",2/13/2020 20:13:42,ujgra0vhyx8qg54mfhujga9i3fif5x7w
Pudgy,1 week - 6 months,Companionship and affection,Family member or friend,Size,Appearance,Age,Compatability with other pets in the home,Breed,Trainability,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Age,Trainability,Appearance,Shelter/Rescue,02c983a2def62e515889b3f6657b212c,,, ,2/13/2020 20:14:28,gz2wlmapzmoa8n63694wagz2wlmaqmaj
Turk,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Breed,Compatability with other pets in the home,Appearance,Individual personality/behavior,Age,Trainability,Yes,True,,,True,,,,,,,,,ece46ceba2f24058e12fe06f8d212cb9,,, ,2/13/2020 20:14:23,5485rh86hahvpj8feg5485rcqxnzm3f7
Jake,1 week - 6 months,Provide a good home for a shelter dog,Shelter/Rescue,Individual personality/behavior,Appearance,Size,Age,Breed,Trainability,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Trainability,Appearance,Age,Size,Breed,Shelter/Rescue,edd8d0889602b0c77117440a8defa33c,,, ,2/13/2020 20:15:48,j5vjp1atcbyqskv2bnd1j5vjpv3ilgn3
George,1 week - 6 months,Companionship and affection,Breeder,Breed,Individual personality/behavior,Appearance,Trainability,Age,Size,Yes,True,,,False,True,Breed,Age,Individual personality/behavior,Size,Appearance,Trainability,Breeder,5d1f3fe5504c51179120806a629631d2,,, ,2/13/2020 20:15:35,fjkblmczbms6sqm6wvfjk64vogpbamro
Callie,1 week - 6 months,Companionship and affection,Breeder,Breed,Individual personality/behavior,Age,Appearance,Trainability,Size,Yes,True,,,False,True,Breed,Age,Individual personality/behavior,Size,Trainability,Compatability with other pets in the home,Shelter/Rescue,b09bfc3bc29e960b5771f78efa30a226,,, ,2/13/2020 20:15:47,6h9hssdkxly3pzmz6h9hss2pqz5satne
muppet,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Age,Individual personality/behavior,Size,Trainability,Appearance,Yes,True,,,False,True,Individual personality/behavior,Breed,Age,Size,Age,Appearance,Shelter/Rescue,f6d11492e0812ed3e51c6979aac881b0,,, ,2/13/2020 20:16:01,x1xcpsxsonhkomv2lx9x1xcrtfu2k1p6
Achilles,Less than 1 week,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Size,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Size,Breed,Shelter/Rescue,146adf825bac55db338a3bf2ce318969,We have submissions for:,,", ",2/13/2020 20:15:42,0dukvntzp6lepe3taajo0dukvn7mj6wb
Rogue,1 week - 6 months,Companionship and affection,Breeder,Breed,Age,Trainability,Appearance,Individual personality/behavior,Size,Yes,True,,,False,True,Breed,Age,Compatability with other pets in the home,Trainability,Individual personality/behavior,Size,Breeder,4c3b13701320eb20031d7ec5bb070143,,, ,2/13/2020 20:15:30,6nr5yian0q7xkufa6nrakbvpju7naqd7
Shindychew,1 week - 6 months,Companionship and affection,Another country or island,Individual personality/behavior,Trainability,Size,Age,Appearance,Compatability with other pets in the home,Yes,True,,,True,,,,,,,,,952957c459fa66450dfc657c7e3f6048,,, ,2/13/2020 20:16:43,uu9psr92b71jusq6ttz2qouu9psr92bc
Gema,6+ months - 6 years,Companionship and affection,Breeder,Breed,Individual personality/behavior,Trainability,Appearance,Size,Age,Yes,True,,,False,True,Breed,Individual personality/behavior,Appearance,Trainability,Size,Age,Breeder,2a958a19c348febaf76670adca12f029,,, ,2/13/2020 20:21:55,3b66sfwd5n3f563b667mer7h5bkybtyy
Flash,Less than 1 week,He needed a home,Shelter/Rescue,Individual personality/behavior,Breed,Appearance,Compatability with other pets in the home,Age,Size,Yes,True,,,True,,,,,,,,,a45f0e6f8d5d28756ef85e27ef16e838,,, ,2/13/2020 20:19:27,r3zaxe32m129w0mlijr3zaxe38fwk4eu
